"(Bay_id, Aisle_id, Level_id)",Occupancy,Pallet_id
"(3, 22, 7)",0,0
"(3, 22, 8)",0,0
"(3, 22, 9)",0,0
"(3, 22, 10)",0,0
"(3, 23, 1)",1,1123
"(3, 23, 2)",1,1179
"(3, 23, 3)",1,1235
"(3, 23, 4)",1,1291
"(3, 23, 5)",1,1347
"(3, 23, 6)",1,1403
"(3, 23, 7)",1,1459
"(3, 23, 8)",1,1515
"(3, 23, 9)",0,0
"(3, 23, 10)",0,0
"(3, 24, 1)",1,3
"(3, 24, 2)",1,59
"(3, 24, 3)",1,115
"(3, 24, 4)",1,171
"(3, 24, 5)",1,227
"(3, 24, 6)",1,283
"(3, 24, 7)",1,339
"(3, 24, 8)",1,395
"(3, 24, 9)",1,451
"(3, 24, 10)",1,507
"(4, 1, 1)",1,8399
"(4, 1, 2)",1,8455
"(4, 1, 3)",1,8511
"(4, 1, 4)",1,8567
"(4, 1, 5)",1,8623
"(4, 1, 6)",1,8679
"(4, 1, 7)",1,8735
"(4, 1, 8)",1,8791
"(4, 1, 9)",1,8847
"(4, 1, 10)",1,8903
"(4, 2, 1)",0,0
"(4, 2, 2)",0,0
"(4, 2, 3)",0,0
"(4, 2, 4)",0,0
"(4, 2, 5)",0,0
"(4, 2, 6)",0,0
"(4, 2, 7)",0,0
"(4, 2, 8)",0,0
"(4, 2, 9)",0,0
"(4, 2, 10)",0,0
"(4, 3, 1)",1,8959
"(4, 3, 2)",1,9015
"(4, 3, 3)",1,9071
"(4, 3, 4)",1,9127
"(4, 3, 5)",1,9183
"(4, 3, 6)",1,9239
"(4, 3, 7)",1,9295
"(4, 3, 8)",1,9351
"(4, 3, 9)",0,0
"(4, 3, 10)",0,0
"(4, 4, 1)",1,7839
"(4, 4, 2)",1,7895
"(4, 4, 3)",1,7951
"(4, 4, 4)",1,8007
"(4, 4, 5)",1,8063
"(4, 4, 6)",1,8119
"(4, 4, 7)",1,8175
"(4, 4, 8)",1,8231
"(4, 4, 9)",1,8287
"(4, 4, 10)",1,8343
"(4, 5, 1)",1,6832
"(4, 5, 2)",1,6888
"(4, 5, 3)",1,6944
"(4, 5, 4)",1,7000
"(4, 5, 5)",1,7056
"(4, 5, 6)",1,7112
"(4, 5, 7)",1,7168
"(4, 5, 8)",1,7224
"(4, 5, 9)",1,7280
"(4, 5, 10)",1,7336
"(4, 6, 1)",0,0
"(4, 6, 2)",0,0
"(4, 6, 3)",0,0
"(4, 6, 4)",0,0
"(4, 6, 5)",0,0
"(4, 6, 6)",0,0
"(4, 6, 7)",0,0
"(4, 6, 8)",0,0
"(4, 6, 9)",0,0
"(4, 6, 10)",0,0
"(4, 7, 1)",1,7392
"(4, 7, 2)",1,7448
"(4, 7, 3)",1,7504
"(4, 7, 4)",1,7560
"(4, 7, 5)",1,7616
"(4, 7, 6)",1,7672
"(4, 7, 7)",1,7728
"(4, 7, 8)",1,7784
"(4, 7, 9)",0,0
"(4, 7, 10)",0,0
"(4, 8, 1)",1,6272
"(4, 8, 2)",1,6328
"(4, 8, 3)",1,6384
"(4, 8, 4)",1,6440
"(4, 8, 5)",1,6496
"(4, 8, 6)",1,6552
"(4, 8, 7)",1,6608
"(4, 8, 8)",1,6664
"(4, 8, 9)",1,6720
"(4, 8, 10)",1,6776
"(4, 9, 1)",1,5265
"(4, 9, 2)",1,5321
"(4, 9, 3)",1,5377
"(4, 9, 4)",1,5433
"(4, 9, 5)",1,5489
"(4, 9, 6)",1,5545
"(4, 9, 7)",1,5601
"(4, 9, 8)",1,5657
"(4, 9, 9)",1,5713
"(4, 9, 10)",1,5769
"(4, 10, 1)",0,0
"(4, 10, 2)",0,0
"(4, 10, 3)",0,0
"(4, 10, 4)",0,0
"(4, 10, 5)",0,0
"(4, 10, 6)",0,0
"(4, 10, 7)",0,0
"(4, 10, 8)",0,0
"(4, 10, 9)",0,0
"(4, 10, 10)",0,0
"(4, 11, 1)",1,5825
"(4, 11, 2)",1,5881
"(4, 11, 3)",1,5937
"(4, 11, 4)",1,5993
"(4, 11, 5)",1,6049
"(4, 11, 6)",1,6105
"(4, 11, 7)",1,6161
"(4, 11, 8)",1,6217
"(4, 11, 9)",0,0
"(4, 11, 10)",0,0
"(4, 12, 1)",1,4705
"(4, 12, 2)",1,4761
"(4, 12, 3)",1,4817
"(4, 12, 4)",1,4873
"(4, 12, 5)",1,4929
"(4, 12, 6)",1,4985
"(4, 12, 7)",1,5041
"(4, 12, 8)",1,5097
"(4, 12, 9)",1,5153
"(4, 12, 10)",1,5209
"(4, 13, 1)",1,3698
"(4, 13, 2)",1,3754
"(4, 13, 3)",1,3810
"(4, 13, 4)",1,3866
"(4, 13, 5)",1,3922
"(4, 13, 6)",1,3978
"(4, 13, 7)",1,4034
"(4, 13, 8)",1,4090
"(4, 13, 9)",1,4146
"(4, 13, 10)",1,4202
"(4, 14, 1)",0,0
"(4, 14, 2)",0,0
"(4, 14, 3)",0,0
"(4, 14, 4)",0,0
"(4, 14, 5)",0,0
"(4, 14, 6)",0,0
"(4, 14, 7)",0,0
"(4, 14, 8)",0,0
"(4, 14, 9)",0,0
"(4, 14, 10)",0,0
"(4, 15, 1)",1,4258
"(4, 15, 2)",1,4314
"(4, 15, 3)",1,4370
"(4, 15, 4)",1,4426
"(4, 15, 5)",1,4482
"(4, 15, 6)",1,4538
"(4, 15, 7)",1,4594
"(4, 15, 8)",1,4650
"(4, 15, 9)",0,0
"(4, 15, 10)",0,0
"(4, 16, 1)",1,3138
"(4, 16, 2)",1,3194
"(4, 16, 3)",1,3250
"(4, 16, 4)",1,3306
"(4, 16, 5)",1,3362
"(4, 16, 6)",1,3418
"(4, 16, 7)",1,3474
"(4, 16, 8)",1,3530
"(4, 16, 9)",1,3586
"(4, 16, 10)",1,3642
"(4, 17, 1)",1,2131
"(4, 17, 2)",1,2187
"(4, 17, 3)",1,2243
"(4, 17, 4)",1,2299
